StoryID,RegionSimplified,Country,GenreSimplified,PanelOrdinal,Valence,Arousal,valence_roll_5,arousal_roll_5
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.388888889,0.5,2,0.4,2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.416666667,-0.5,2,0.2,1.8
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.444444444,0,1,0,1.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.472222222,0,1,-0.1,1.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.5,0,1,0,1.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.527777778,0,2,0,1.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.555555556,0,2,-0.1,1.6
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.583333333,0,1,-0.1,1.6
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.611111111,-0.5,2,-0.3,2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.638888889,0,1,-0.5,2.4
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.666666667,-1,4,-0.5,2.6
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.694444444,-1,4,-0.5,2.6
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.722222222,0,2,-0.5,2.8
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.75,-0.5,2,-0.4,2.6
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.777777778,0,2,-0.2,2.2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.805555556,-0.5,3,-0.2,2.2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.833333333,0,2,-0.1,2.2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.861111111,0,2,-0.1,2.2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.888888889,0,2,0,2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.916666667,0,2,0.1,2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.944444444,0,2,0.3,2
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,0.972222222,0.5,2,NA,NA
8ded1ce5013fd3b3a019f7d8b499492a,Africa,Angola,Political,1,1,2,NA,NA
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.066666667,0,1,NA,NA
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.133333333,0,1,NA,NA
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.2,0,1,0.4,1.4
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.266666667,1,2,0.4,1.4
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.333333333,1,2,0.4,1.4
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.4,0,1,0.4,1.4
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.466666667,0,1,0.1,1.6
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.533333333,0,1,-0.1,1.4
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.6,-0.5,3,-0.2,1.8
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.666666667,0,1,-0.4,2.2
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.733333333,-0.5,3,-0.6,2.8
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.8,-1,3,-0.4,3.2
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.866666667,-1,4,-0.3,3.4
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,0.933333333,0.5,5,NA,NA
2bddf2fcafdb960d372dec0322317bbd,Africa,Angola,Horror,1,0.5,2,NA,NA
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.027027027,0,1,NA,NA
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.054054054,0,1,NA,NA
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.081081081,0,1,-0.1,1.2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.108108108,-0.5,2,-0.1,1.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.135135135,0,1,-0.1,1.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.162162162,0,3,-0.1,2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.189189189,0,1,0,2.2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.216216216,0,3,0,2.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.243243243,0,3,0,2.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.27027027,0,3,-0.1,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.297297297,0,3,-0.2,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.324324324,-0.5,2,-0.2,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.351351351,-0.5,3,-0.2,2.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.378378378,0,3,-0.4,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.405405405,0,2,-0.3,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.432432432,-1,4,-0.2,2.4
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.459459459,0,2,-0.2,2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.486486486,0,1,-0.2,1.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.513513514,0,1,0,1.2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.540540541,0,1,-0.1,1.4
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.567567568,0,1,-0.3,1.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.594594595,-0.5,3,-0.4,1.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.621621622,-1,2,-0.5,2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.648648649,-0.5,2,-0.7,2.4
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.675675676,-0.5,2,-0.8,2.4
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.702702703,-1,3,-0.7,2.4
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.72972973,-1,3,-0.8,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.756756757,-0.5,2,-0.9,3
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.783783784,-1,4,-0.7,2.8
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.810810811,-1,3,-0.5,2.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.837837838,0,2,-0.3,2.6
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.864864865,0,2,0.1,2.2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.891891892,0.5,2,0.5,2
453289c004860e8162bdfcb585cffe69,Africa,Angola,Political,0.918918919,1,2,0.5,2
